time,hka,mldfa,mpta,jlca,mldta,delta
0.000,170.474,150.977,36.640,1.909,148.281,-106.719
0.010,170.458,150.972,36.650,1.920,148.271,-106.700
0.020,170.450,150.974,36.648,1.928,148.273,-106.704
0.030,170.430,150.985,36.664,1.921,148.241,-106.673
0.040,170.438,150.990,36.644,1.928,148.276,-106.712
0.050,170.438,150.996,36.630,1.936,148.309,-106.740
0.060,170.445,150.981,36.620,1.954,148.329,-106.760
0.070,170.437,150.973,36.626,1.964,148.321,-106.747
0.080,170.441,150.971,36.630,1.957,148.309,-106.739
0.090,170.435,150.962,36.649,1.954,148.264,-106.701
0.100,170.431,150.959,36.662,1.948,148.244,-106.676
0.110,170.418,150.980,36.671,1.931,148.220,-106.658
0.120,170.422,150.975,36.668,1.936,148.226,-106.665
0.130,170.434,150.972,36.655,1.939,148.252,-106.690
0.140,170.445,150.982,36.649,1.925,148.269,-106.702
0.150,170.446,150.978,36.647,1.929,148.276,-106.706
0.160,170.450,150.985,36.647,1.918,148.270,-106.706
0.170,170.453,150.970,36.642,1.934,148.274,-106.715
0.180,170.453,150.946,36.647,1.954,148.272,-106.707
0.190,170.457,150.932,36.638,1.974,148.286,-106.725
0.200,170.456,150.962,36.648,1.934,148.263,-106.704
0.210,170.454,150.965,36.653,1.929,148.249,-106.695
0.220,170.435,150.948,36.658,1.960,148.241,-106.685
0.230,170.428,150.958,36.651,1.963,148.250,-106.697
0.240,170.415,150.968,36.648,1.969,148.263,-106.704
0.250,170.398,150.950,36.642,2.010,148.284,-106.717
0.260,170.380,150.926,36.642,2.052,148.304,-106.716
0.270,170.380,150.974,36.638,2.008,148.302,-106.724
0.280,170.364,150.971,36.638,2.027,148.306,-106.724
0.290,170.338,150.968,36.652,2.042,148.277,-106.696
0.300,170.329,150.961,36.661,2.048,148.262,-106.678
0.310,170.325,150.952,36.669,2.053,148.244,-106.661
0.320,170.330,150.949,36.658,2.063,148.271,-106.684
0.330,170.339,150.942,36.651,2.068,148.289,-106.699
0.340,170.343,150.945,36.648,2.064,148.298,-106.704
0.350,170.374,150.957,36.641,2.028,148.300,-106.717
0.360,170.399,150.952,36.636,2.013,148.310,-106.729
0.370,170.437,150.944,36.627,1.992,148.331,-106.746
0.380,170.472,150.941,36.622,1.965,148.343,-106.756
0.390,170.497,150.922,36.613,1.967,148.366,-106.773
0.400,170.511,150.904,36.619,1.967,148.357,-106.762
0.410,170.560,150.893,36.627,1.921,148.327,-106.746
0.420,170.630,150.897,36.612,1.861,148.351,-106.775
0.430,170.693,150.883,36.620,1.803,148.343,-106.760
0.440,170.779,150.879,36.602,1.740,148.373,-106.797
0.450,170.887,150.876,36.564,1.674,148.455,-106.873
0.460,170.970,150.894,36.561,1.575,148.456,-106.879
0.470,171.046,150.891,36.553,1.510,148.468,-106.894
0.480,171.114,150.896,36.555,1.435,148.462,-106.889
0.490,171.176,150.891,36.575,1.358,148.428,-106.849
0.500,171.265,150.885,36.569,1.281,148.442,-106.863
0.510,171.352,150.894,36.569,1.185,148.442,-106.861
0.520,171.438,150.908,36.566,1.089,148.443,-106.868
0.530,171.556,150.905,36.552,0.988,148.464,-106.896
0.540,171.646,150.915,36.537,0.902,148.493,-106.926
0.550,171.748,150.924,36.548,0.780,148.478,-106.903
0.560,171.848,150.913,36.524,0.714,148.523,-106.951
0.570,171.945,150.897,36.524,0.634,148.536,-106.952
0.580,172.068,150.910,36.513,0.509,148.565,-106.973
0.590,172.162,150.917,36.503,0.418,148.581,-106.994
0.600,172.294,150.920,36.503,0.283,148.583,-106.994
0.610,172.405,150.924,36.496,0.175,148.594,-107.008
0.620,172.546,150.935,36.488,0.031,148.610,-107.025
0.630,172.663,150.937,36.464,0.064,148.650,-107.199
0.640,172.798,150.935,36.462,0.194,148.653,-107.465
0.650,172.924,150.925,36.462,0.311,148.653,-107.698
0.660,173.061,150.910,36.457,0.429,148.657,-107.944
0.670,173.211,150.897,36.451,0.559,148.676,-108.215
0.680,173.296,150.824,36.450,0.570,148.700,-108.241
0.690,173.401,150.808,36.410,0.619,148.777,-108.418
0.700,173.502,150.803,36.414,0.719,148.800,-108.610
0.710,173.607,150.768,36.380,0.755,148.885,-108.750
0.720,173.705,150.716,36.341,0.762,148.972,-108.842
0.730,173.812,150.686,36.336,0.834,148.992,-108.997
0.740,173.937,150.627,36.321,0.885,149.026,-109.128
0.750,174.085,150.563,36.297,0.945,149.059,-109.296
0.760,174.247,150.479,36.281,1.007,149.088,-109.451
0.770,174.431,150.410,36.243,1.085,149.139,-109.683
0.780,174.633,150.349,36.201,1.183,149.201,-109.963
0.790,174.842,150.323,36.158,1.323,149.273,-110.330
0.800,175.017,150.270,36.118,1.406,149.340,-110.575
0.810,175.225,150.230,36.088,1.544,149.401,-110.910
0.820,175.429,150.193,36.043,1.665,149.488,-111.245
0.830,175.618,150.147,35.994,1.759,149.585,-111.530
0.840,175.808,150.091,35.940,1.839,149.702,-111.799
0.850,176.004,150.055,35.875,1.933,149.826,-112.117
0.860,176.198,150.006,35.826,2.030,149.929,-112.407
0.870,176.362,149.954,35.808,2.124,149.988,-112.631
0.880,176.518,149.954,35.734,2.206,150.096,-112.944
0.890,176.647,149.917,35.734,2.298,150.108,-113.129
0.900,176.728,149.897,35.722,2.348,150.125,-113.251
